"company_name","job_title","salary_year_avg","skills"
"AT&T","Associate Director- Data Insights","255829.5","power bi, powerpoint, sql, python, r, azure, databricks, aws, pandas, pyspark, jupyter, excel, tableau"
"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","python, r, sql"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","python, confluence, jira, atlassian, bitbucket, jenkins, sap, power bi, tableau, snowflake, oracle, aws, azure, sql"
"Mantys","Data Analyst","650000.0",""
"Meta","Director of Analytics","336500.0",""
"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","python, sql, r, git, bitbucket, atlassian, jira, confluence"
"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","tableau, sql, python, r, hadoop"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","sql, excel, tableau, gitlab, numpy, pandas, snowflake, go, python"
"SmartAsset","Principal Data Analyst","186000.0","pandas, excel, tableau, gitlab, go, snowflake, sql, python, numpy"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","oracle, flow, sql, crystal, tableau"
